Date,GBPUSD=X,GLD,SPY,USO,VIX
2015-04-09,1.487851619720459,114.66999816894531,174.24545288085938,144.24000549316406,13.09000015258789
2015-04-10,1.4714971780776978,115.97000122070312,175.19631958007812,147.27999877929688,12.579999923706055
2015-04-13,1.4640644788742065,115.13999938964844,174.4039306640625,148.0,13.9399995803833
2015-04-14,1.4667917490005493,114.44000244140625,174.7375946044922,150.55999755859375,13.670000076293945
2015-04-15,1.4771921634674072,115.43000030517578,175.52162170410156,157.67999267578125,12.84000015258789
2015-04-16,1.4828435182571411,115.02999877929688,175.4716339111328,159.52000427246094,12.600000381469727
2015-04-17,1.4921809434890747,115.5999984741211,173.45301818847656,158.72000122070312,13.890000343322754
2015-04-20,1.4968267679214478,114.72000122070312,175.03787231445312,159.1199951171875,13.300000190734863
2015-04-21,1.490979552268982,115.37999725341797,174.8292999267578,155.60000610351562,13.25
2015-04-22,1.4935628175735474,113.83000183105469,175.68844604492188,154.8800048828125,12.710000038146973
2015-04-23,1.5037593841552734,114.66000366210938,176.13055419921875,158.0800018310547,12.479999542236328
2015-04-24,1.5052080154418945,113.05000305175781,176.5392608642578,157.36000061035156,12.289999961853027
2015-04-27,1.517657995223999,115.33000183105469,175.8052215576172,156.16000366210938,13.119999885559082
2015-04-28,1.5223711729049683,116.33000183105469,176.36410522460938,156.8000030517578,12.40999984741211
2015-04-29,1.533483624458313,115.51000213623047,175.638427734375,160.9600067138672,13.390000343322754
2015-04-30,1.542686104774475,113.47000122070312,173.87844848632812,164.0800018310547,14.550000190734863
2015-05-01,1.5354615449905396,113.08000183105469,175.7635498046875,163.1999969482422,12.699999809265137
2015-05-04,1.5146695375442505,114.0999984741211,176.26402282714844,162.24000549316406,12.850000381469727
2015-05-05,1.5122873783111572,114.41999816894531,174.24545288085938,166.0800018310547,14.3100004196167
2015-05-06,1.517427682876587,114.36000061035156,173.5281219482422,166.55999755859375,15.149999618530273
2015-05-07,1.5242043733596802,113.41999816894531,174.220458984375,161.60000610351562,15.130000114440918
2015-05-08,1.5407133102416992,113.97000122070312,176.51425170898438,163.36000061035156,12.859999656677246
2015-05-11,1.5434004068374634,113.52999877929688,175.6717987060547,163.0399932861328,13.850000381469727
2015-05-12,1.557705283164978,114.5,175.14630126953125,165.9199981689453,13.859999656677246
2015-05-13,1.567103385925293,116.55000305175781,175.17970275878906,164.8800048828125,13.760000228881836
2015-05-14,1.574009895324707,117.18000030517578,177.00636291503906,164.24000549316406,12.739999771118164
2015-05-15,1.5772124528884888,117.52999877929688,177.19821166992188,164.16000366210938,12.380000114440918
2015-05-18,1.574604868888855,117.5199966430664,177.7487030029297,163.52000427246094,12.729999542236328
2015-05-19,1.5663670301437378,115.88999938964844,177.6903533935547,157.0399932861328,12.850000381469727
2015-05-20,1.5516144037246704,116.08000183105469,177.56517028808594,158.72000122070312,12.880000114440918
2015-05-21,1.5542914867401123,115.69000244140625,178.0823516845703,164.0,12.109999656677246
2015-05-22,1.5663915872573853,115.5999984741211,177.65699768066406,162.0,12.130000114440918
2015-05-25,1.5475084781646729,,,,
2015-05-26,1.5472211837768555,113.91000366210938,175.746826171875,157.52000427246094,14.0600004196167
2015-05-27,1.5398591756820679,113.88999938964844,177.4150848388672,155.83999633789062,13.270000457763672
2015-05-28,1.5350136756896973,114.0199966430664,177.21490478515625,156.47999572753906,13.3100004196167
2015-05-29,1.531909704208374,114.0999984741211,176.1138458251953,162.47999572753906,13.84000015258789
2015-06-01,1.5288883447647095,114.0,176.4725341796875,162.8800048828125,13.970000267028809
2015-06-02,1.519987940788269,114.45999908447266,176.29734802246094,165.44000244140625,14.239999771118164
2015-06-03,1.5339776277542114,113.63999938964844,176.764404296875,161.36000061035156,13.65999984741211
2015-06-04,1.5326610803604126,112.83999633789062,175.27142333984375,157.27999877929688,14.710000038146973
2015-06-05,1.5364996194839478,112.23999786376953,174.97113037109375,159.1999969482422,14.210000038146973
2015-06-08,1.526787519454956,112.56999969482422,173.8951416015625,157.67999267578125,15.289999961853027
2015-06-09,1.5345896482467651,112.81999969482422,173.8700714111328,161.67999267578125,14.470000267028809
2015-06-10,1.539408802986145,113.77999877929688,175.95542907714844,165.1199951171875,13.220000267028809
2015-06-11,1.549690842628479,113.26000213623047,176.52256774902344,163.9199981689453,12.850000381469727
2015-06-12,1.5508925914764404,113.2300033569336,175.1713409423828,162.16000366210938,13.779999732971191
2015-06-15,1.5561537742614746,113.7300033569336,174.4206085205078,161.1999969482422,15.390000343322754
2015-06-16,1.5596001148223877,113.31999969482422,175.3715057373047,162.0800018310547,14.8100004196167
